"Accounting / Finance / Insurance"
"Administrative / Clerical"
"Banking / Real Estate / Mortgage Professionals"
"Biotech / R&D / Science"
"Building Construction / Skilled Trades"
"Business / Strategic Management"
"Career Fair","Other"
"Creative / Design"
"Customer Support / Client Care"
"Editorial / Writing"
"Education / Training"
"Engineering"
"Food Services / Hospitality"
"Human Resources"
"Installation / Maintenance / Repair"
"IT / Software Development"
"Legal"
"Logistics / Transportation"
"Manufacturing / Production / Operations"
"Marketing / Product"
"Medical / Health"
"Other","Other"
"Project / Program Management"
"Quality Assurance / Safety"
"Sales / Retail / Business Development"
"Security / Protective Services"
"Work at Home","Other"
